id_rank,CREDIT_FLAG,PROVINCE,SEX,AGE,occupation,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
16611,1,0,0,1,1,3,4,4,2,6,7,0,0,7,8,8,7,7,7,4,3,2,2,4,8,4,4,1,1,1,4,3,3,3,7,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,9
18645,1,0,1,1,1,3,6,6,2,3,7,0,0,5,5,3,5,4,3,4,8,4,6,1,6,5,5,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,4
1039,1,1,1,2,3,9,10,10,2,4,4,1,1,4,3,2,4,7,8,5,10,11,8,5,4,4,7,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
21637,0,1,0,1,0,2,1,1,1,1,5,0,1,8,8,8,1,2,2,3,2,3,6,1,2,5,3,1,1,1,9,5,4,3,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2
2392,1,4,0,1,1,8,9,10,2,3,7,1,1,8,3,2,9,6,7,9,3,3,4,1,3,2,3,1,1,1,3,2,3,3,7,9,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,8
21957,0,4,0,2,2,6,7,2,2,2,10,1,1,8,7,2,8,10,10,7,9,7,2,3,9,9,10,2,4,4,1,3,7,7,9,10,10,1,2,4,2,4,2,4,2,4,1,1,1,0,0,0,0,0,0,8,9
22073,0,4,0,2,0,3,2,8,1,2,4,0,1,4,2,2,4,8,5,3,4,3,2,1,5,6,5,4,4,5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,3
2543,1,3,0,1,1,10,3,3,1,5,6,0,1,5,4,4,4,7,7,8,6,7,9,1,9,5,5,2,3,3,4,3,3,3,7,7,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6
22582,0,6,1,1,0,2,2,9,2,2,6,0,0,2,3,4,3,6,8,9,3,4,3,1,2,5,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3
3457,1,4,0,1,4,7,4,9,2,4,6,0,0,6,6,6,6,3,3,4,3,3,6,1,2,8,6,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,7
3775,1,4,0,2,0,2,1,6,1,1,2,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2
4005,1,5,0,1,1,8,2,5,3,4,8,0,0,8,8,7,8,12,14,14,6,6,5,3,9,7,9,1,3,4,9,9,9,7,10,9,6,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,9
24222,0,4,0,1,0,3,2,9,2,2,6,0,0,3,3,2,3,9,11,11,2,2,4,1,6,4,4,2,4,4,6,6,5,4,9,6,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,4
24414,0,6,0,1,0,2,1,6,2,1,7,0,0,3,4,4,3,9,9,12,5,6,7,1,10,7,8,4,4,5,2,5,4,8,6,7,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,6
25521,0,5,0,2,0,4,9,8,1,2,9,0,1,3,1,1,4,8,2,3,6,2,2,1,3,8,6,1,2,3,3,2,8,10,7,10,5,1,5,7,7,8,8,9,9,10,1,1,1,1,0,1,0,1,0,9,7
6703,1,0,0,2,3,9,10,2,2,3,9,1,1,6,6,5,5,7,7,7,8,8,8,3,4,4,4,1,1,1,9,8,8,8,10,10,10,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,8
8214,1,0,0,3,0,3,2,10,2,3,3,0,1,2,2,2,2,7,2,4,3,3,6,1,2,1,1,1,1,2,4,3,2,2,2,2,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
9326,1,0,0,2,1,7,10,7,3,5,8,1,1,5,5,7,6,8,7,8,8,7,9,5,9,8,10,3,3,3,3,4,4,4,6,9,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,9
9455,1,0,1,2,0,5,8,3,3,3,8,0,1,3,3,2,3,4,4,5,8,8,8,3,3,10,8,1,2,3,6,6,6,6,10,8,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,8
9626,1,0,0,3,0,8,2,3,1,2,8,0,1,10,9,10,10,4,5,4,5,7,6,9,7,3,3,1,1,1,5,4,4,5,10,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9
9713,1,0,1,2,0,10,10,9,1,2,2,1,1,1,1,1,1,2,2,3,4,3,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
9907,1,0,0,1,0,2,8,4,2,3,8,1,1,2,2,2,3,5,6,7,9,10,10,4,10,9,10,2,2,2,10,7,7,7,10,10,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,8
11690,1,0,0,2,1,9,2,6,1,4,7,1,1,2,2,2,2,4,5,5,4,5,5,2,2,5,8,1,2,2,3,2,2,3,7,8,7,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,5
20535,0,0,0,2,0,7,4,6,4,2,10,1,1,3,2,1,4,7,4,4,9,7,4,1,7,10,10,2,2,4,3,2,3,5,9,9,6,2,5,6,5,6,5,6,5,6,1,1,1,0,0,0,0,0,0,9,8
11944,1,0,0,1,0,10,8,3,2,3,5,1,1,2,2,2,3,2,2,2,3,2,3,1,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,3
12471,1,0,1,1,0,8,4,3,1,2,5,1,0,2,2,3,3,3,4,5,5,7,8,1,3,3,3,1,1,1,4,2,2,2,5,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,3
14297,1,0,0,1,0,9,2,5,2,2,5,1,0,2,2,2,2,3,3,3,4,5,5,3,6,5,4,2,2,2,2,2,2,2,9,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,6
16931,1,0,0,1,2,4,3,7,2,2,4,0,0,3,3,2,2,2,3,5,5,6,8,1,8,7,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,2
18578,1,0,1,1,0,7,5,5,2,4,4,1,1,3,4,4,3,5,6,5,9,10,8,1,10,2,3,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
18778,1,0,0,1,0,6,4,5,2,2,8,1,1,9,8,8,8,3,2,3,7,4,5,1,6,10,9,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3
18881,1,0,1,2,0,8,10,7,1,4,5,1,1,6,6,5,6,5,6,6,8,8,7,1,4,5,5,1,1,2,4,4,4,4,8,10,10,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
19195,1,0,0,2,0,5,8,5,2,3,10,1,1,7,7,7,9,7,7,8,8,8,9,2,3,10,10,2,2,2,4,3,3,3,10,9,5,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,8
19755,1,0,0,1,4,7,5,10,3,7,10,1,0,8,8,8,8,15,15,15,12,13,9,2,10,6,7,1,4,4,6,5,4,4,8,6,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,9
21578,0,1,1,3,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1673,1,1,0,1,4,3,4,7,2,7,7,1,0,7,8,7,6,5,6,3,8,8,5,1,4,8,8,1,1,3,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,7
21809,0,1,1,2,1,2,4,3,3,3,10,1,1,8,8,8,8,15,15,15,12,14,13,3,10,9,10,1,1,2,2,4,4,5,6,6,5,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,9
21903,0,1,1,1,1,4,7,2,1,7,10,1,0,5,6,7,5,6,5,7,8,7,8,4,6,8,8,3,4,4,6,5,6,6,10,10,9,1,1,1,2,3,2,3,2,3,1,1,1,0,0,0,0,0,0,7,7
22214,0,3,0,1,0,3,1,5,2,1,3,0,0,2,2,2,2,2,1,1,2,1,1,1,9,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1
3654,1,4,0,1,4,2,2,10,2,3,4,0,0,5,3,2,6,3,3,4,4,2,3,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,2
23383,0,4,0,2,0,5,7,6,1,2,8,0,1,5,6,6,5,11,12,14,4,5,6,1,8,10,10,1,2,2,1,1,1,1,1,4,4,1,1,1,2,3,7,7,7,7,1,1,1,1,0,1,0,1,0,9,9
4750,1,6,0,1,2,6,4,2,1,3,7,0,0,9,9,9,8,5,5,7,5,7,9,1,2,9,8,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
4780,0,6,0,1,3,3,2,6,2,4,7,0,0,4,5,4,4,3,3,4,4,4,6,1,2,8,4,2,3,4,1,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,5
5470,1,0,1,2,1,10,8,6,1,6,9,0,1,9,9,9,8,13,14,15,12,11,11,3,10,10,10,1,1,2,10,8,9,8,10,10,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,8
5700,1,0,1,1,1,8,6,9,2,6,10,1,1,12,10,10,13,10,9,9,10,10,10,3,5,6,10,2,2,2,1,4,4,4,9,7,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,7
6160,1,0,1,2,1,9,10,5,1,2,4,0,1,3,3,4,4,5,6,5,9,10,9,4,8,5,8,1,1,1,1,1,1,2,2,6,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,3
7603,1,0,0,1,0,7,5,3,2,2,6,0,0,4,5,6,3,2,3,2,4,5,3,2,3,7,7,1,1,2,3,3,2,2,10,6,6,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,4
8067,1,0,0,2,0,4,4,3,2,5,5,0,1,6,5,5,6,4,4,5,7,8,9,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1
8687,1,0,1,2,0,2,5,3,2,3,9,1,0,6,6,5,5,9,9,9,10,11,10,1,7,4,5,3,4,4,3,4,6,6,10,6,7,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,7
8777,1,0,0,3,0,10,8,5,1,4,9,1,1,9,9,9,9,5,5,6,9,9,9,1,3,8,9,1,1,2,3,2,2,2,5,9,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,8
9190,1,0,1,1,1,9,4,6,1,4,6,0,0,6,5,2,7,5,6,5,6,7,8,1,4,3,2,1,1,1,3,3,3,3,9,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,4
9824,1,0,1,2,2,9,6,2,1,3,6,1,1,3,3,3,3,5,5,6,9,9,9,1,10,6,6,1,1,2,1,1,1,1,1,1,10,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3
71,1,0,1,1,0,9,8,6,2,3,8,0,0,3,3,4,3,4,4,5,6,8,8,1,2,9,8,1,1,2,1,2,3,2,5,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3
10717,1,0,1,2,3,3,10,4,1,4,5,1,1,4,3,3,5,6,6,8,10,10,10,4,8,5,7,1,1,1,4,4,4,4,9,8,8,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6
11759,1,0,1,2,1,10,10,3,1,2,7,0,1,8,5,2,8,3,4,5,7,7,8,1,10,9,8,1,1,1,4,3,4,3,6,5,10,1,1,1,1,1,1,1,2,7,0,0,1,0,0,0,0,0,0,9,4
12667,1,0,0,1,4,10,8,4,2,2,3,1,0,1,1,1,2,2,2,2,4,3,3,1,6,1,1,2,2,2,5,4,4,4,10,7,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,1
147,1,0,0,1,0,6,1,9,2,2,9,1,0,4,3,3,3,8,8,9,6,7,8,1,10,3,4,1,2,2,4,4,4,3,5,4,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,5
14573,1,0,0,1,4,5,4,7,3,8,9,1,0,6,6,5,5,9,9,8,10,9,9,1,9,9,5,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,9
15312,1,0,0,2,6,2,7,10,2,4,7,1,1,11,11,10,12,6,6,8,5,5,7,2,10,4,4,1,2,3,4,5,4,4,8,8,8,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,9
15993,1,0,0,1,0,6,4,9,2,4,4,1,0,4,4,4,4,7,8,5,4,3,2,1,9,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,2
16796,1,0,1,1,4,9,5,2,3,5,5,1,0,2,2,2,2,2,3,4,4,5,6,1,6,5,5,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,4
17772,1,0,1,1,1,3,2,8,4,6,3,0,1,2,2,2,4,5,6,3,9,9,5,1,9,1,1,1,3,3,5,4,4,3,4,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,1
19527,1,0,1,1,0,5,3,3,2,5,6,1,1,3,3,3,2,4,3,4,6,6,7,2,8,10,10,1,2,2,3,3,3,3,10,7,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,9
352,1,4,0,2,0,3,1,5,1,1,5,0,0,5,5,2,5,8,7,6,4,4,6,1,10,3,3,1,1,1,5,4,4,4,10,6,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3
21096,0,6,0,1,0,9,8,9,2,2,7,1,1,4,4,4,3,4,4,5,6,4,5,1,8,8,8,1,2,4,4,4,4,3,6,5,6,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,7
1823,1,1,0,1,0,4,3,8,2,2,3,1,0,2,3,3,2,2,2,1,2,2,1,1,7,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1
2937,1,6,1,2,1,9,10,2,1,4,6,1,1,9,9,9,11,6,7,8,9,10,10,1,4,6,9,1,1,2,4,4,4,4,9,6,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,4
3197,1,4,0,1,1,6,4,7,2,2,9,0,0,4,2,3,5,15,15,15,14,13,14,1,7,6,9,3,4,5,4,3,4,4,9,6,3,1,1,1,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,5,9
23109,0,5,0,1,1,10,3,6,2,5,5,0,0,3,3,3,3,4,4,6,5,5,5,1,5,6,5,2,3,3,3,4,4,3,7,6,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,6
23722,0,5,0,1,0,2,1,1,1,1,4,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,4,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
25245,0,6,0,1,0,2,2,6,4,3,10,0,0,3,2,2,3,4,4,4,3,2,3,1,2,10,7,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,8,7
5160,1,54,1,1,4,3,2,8,1,4,4,0,0,5,5,4,4,4,4,3,5,4,4,1,2,9,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,3
5345,1,3,0,1,4,2,2,2,1,4,7,0,0,2,2,2,2,3,3,4,3,3,4,1,3,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4
5720,1,0,1,3,1,9,10,9,1,5,7,1,1,7,4,5,9,9,9,11,10,11,13,6,8,3,7,1,1,1,1,3,2,2,3,4,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,7
6120,1,0,0,2,1,8,8,3,2,3,5,1,1,10,10,10,12,7,7,7,9,8,6,2,6,2,2,1,1,2,4,10,8,7,9,7,8,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9
7310,1,0,0,1,0,8,5,8,1,2,6,0,0,7,7,5,6,6,7,8,10,10,11,1,8,5,5,2,3,3,4,3,2,2,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,3
8339,1,0,1,2,1,9,8,3,2,4,5,1,1,2,3,2,2,2,2,4,4,4,6,1,6,5,5,1,1,1,1,1,3,3,7,9,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1
9945,1,0,1,2,1,9,8,6,1,6,7,1,1,3,3,1,5,6,4,4,8,6,5,5,10,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,5
11484,1,0,0,1,2,6,3,2,1,3,10,1,1,7,6,7,7,15,15,15,5,3,5,1,10,5,7,2,2,4,3,7,5,10,9,9,5,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,9
13332,1,0,0,2,0,2,1,2,1,1,2,0,0,1,1,1,1,3,5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
13504,1,0,0,2,0,3,2,8,1,2,2,1,0,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1
13911,1,0,1,1,0,2,1,1,1,1,2,0,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,1
14628,1,0,0,2,0,2,1,1,1,1,4,0,0,2,2,3,2,2,2,2,2,2,2,1,2,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1
14660,1,0,0,2,3,9,7,5,2,3,6,1,1,7,6,5,8,2,2,2,4,3,3,1,5,4,4,1,1,2,1,1,1,2,3,5,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6
15582,1,0,0,2,2,8,4,10,2,3,3,0,1,3,1,1,3,2,2,2,2,2,2,1,10,3,3,1,1,1,3,2,2,2,2,3,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,8
15931,1,0,0,1,4,3,5,10,2,5,5,1,0,3,3,3,2,2,2,3,2,2,4,1,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,3
17572,1,0,0,2,1,9,7,9,2,2,8,1,1,13,13,13,13,7,7,8,9,9,10,1,8,5,5,1,1,2,4,4,4,4,10,10,10,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,6
17666,1,0,0,2,0,3,2,10,2,4,8,0,0,9,9,10,10,7,8,9,4,2,3,1,8,2,2,1,1,2,7,4,4,3,6,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,8
17966,1,0,1,2,0,3,2,8,2,2,5,0,1,4,5,5,5,2,2,2,2,2,2,1,4,9,7,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,6
18160,1,0,0,3,7,9,9,4,2,4,7,1,1,14,14,14,14,3,4,6,6,8,9,1,6,3,5,2,2,2,4,4,4,4,8,9,9,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,9
20188,1,0,1,1,4,5,3,9,1,5,7,0,0,8,9,8,8,6,7,3,9,10,3,1,4,5,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,7
671,1,5,1,1,0,2,5,5,2,2,2,0,1,2,2,2,2,3,4,7,4,6,9,1,9,4,5,2,2,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1
936,1,1,1,1,8,6,8,4,1,6,8,1,0,3,2,1,4,5,5,7,8,7,7,1,7,6,8,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3
1219,1,1,1,1,0,10,10,5,2,6,6,1,1,10,9,9,12,8,7,7,10,10,9,1,7,4,7,1,1,1,7,8,10,10,10,6,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,6
2478,1,4,0,2,0,8,6,8,2,2,9,1,1,5,5,4,5,8,8,6,7,7,5,10,7,7,8,1,3,4,2,3,3,3,6,5,8,1,1,1,2,4,2,4,2,4,1,1,1,0,0,0,0,0,0,5,5
22380,0,6,0,1,2,7,4,2,4,9,9,0,0,3,2,2,3,8,8,8,10,10,10,1,10,7,5,1,2,2,3,3,2,3,9,9,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,9
