用户ID,信用评分
9158,90.77
20469,54.62
10168,66.21
10922,68.3
11374,67.79
11429,67.73
11969,67.22
16352,81.14
17354,80.78
18667,85.77
371,63.2
21125,8.84
1027,91.59
22720,39.88
22991,12.42
23342,12.38
24159,25.03
24866,13.79
4974,63.5
5893,77.34
5946,56.34
8577,90.64
9683,90.94
10570,67.97
20571,67.88
13271,72.64
14026,69.53
15148,69.12
15687,81.92
16188,81.72
16797,81.56
17076,81.91
18131,85.62
18197,86.19
18634,86.34
19095,86.33
20814,11.57
21177,31.88
21752,27.56
24165,19.78
25065,21.47
5679,77.22
5747,77.29
6251,74.83
6504,77.42
9045,90.98
10240,67.85
10728,68.48
11923,68.12
13051,72.86
14041,71.89
14900,72.75
18672,86.0
19030,86.41
19410,85.61
21067,10.22
21068,32.15
21775,28.67
22053,8.67
2844,61.73
22488,9.89
3078,61.69
22678,7.88
22761,38.74
24152,28.12
7408,77.11
7495,89.17
7953,90.87
8197,90.62
8846,90.92
20488,42.24
11626,67.7
12801,71.89
14103,72.16
14539,71.66
17427,81.77
17539,81.31
17998,81.16
19556,85.69
1628,94.39
21905,25.87
21986,14.84
23041,8.31
3588,60.32
4066,26.91
4576,60.06
5677,77.39
5678,77.34
6207,76.14
9073,90.1
10023,75.67
10413,68.32
10626,67.35
11142,68.37
12202,67.72
13275,72.6
13407,72.43
17346,81.28
17417,81.36
17434,81.88
18706,86.12
19064,85.95
20032,86.36
21264,8.92
2168,93.08
2335,93.36
23591,16.86
23639,16.21
4901,41.74
25365,12.83
5516,77.39
6400,77.22
6614,77.38
6881,77.14
8807,90.5
9425,90.78
10370,68.0
13061,67.66
13477,71.91
16817,81.61
20301,83.03
21220,26.81
21282,9.21
1029,90.78
21822,8.16
22659,31.86
23349,16.79
23586,14.22
4031,48.14
4067,38.0
24184,30.51
24806,15.96
5744,77.42
6610,77.45
7062,77.19
7237,77.38
8030,90.44
9721,89.07
20572,74.44
13975,72.43
16393,81.12
16567,80.65
17005,81.94
17526,81.86
17554,81.59
17583,81.79
18201,86.05
18271,86.46
19205,81.88
20247,85.62
20851,34.87
21529,44.44
23434,41.43
23909,31.03
4869,46.25
24763,12.05
5030,43.17
5176,73.5
25501,30.17
5,95.18
6270,76.96
6529,77.21
7043,77.0
10403,68.19
11404,68.05
11963,67.69
13607,72.65
13736,71.83
13826,71.35
13943,72.56
15559,81.35
20224,86.06
425,49.45
712,90.21
21444,8.26
22811,9.69
4513,58.17
24528,24.29
24841,14.16
6112,76.74
8041,90.78
8500,90.84
12001,67.47
12131,67.48
12620,68.18
16501,81.9
17139,81.16
17724,81.95
19004,86.36
20323,86.39
21039,7.64
2643,38.91
3127,57.05
3690,61.27
23787,16.54
23935,14.28
4507,49.98
24907,14.41
5180,62.3
25507,34.27
5950,76.91
8936,89.15
9537,90.63
9604,90.44
10405,68.45
10781,67.8
12413,68.43
13197,71.57
13542,72.4
16274,81.81
16943,81.39
17297,77.48
17311,81.45
17642,81.82
18985,85.88
21705,17.7
2166,86.55
2749,45.48
24141,20.41
24607,29.0
24742,44.52
24815,18.44
6220,74.1
7993,90.05
8479,90.9
10860,68.33
11772,67.36
12279,68.23
14193,72.4
14221,67.28
14242,72.19
20812,34.17
380,72.8
437,48.11
21364,8.59
22450,10.77
22737,11.72
3358,63.53
23546,34.27
23589,34.51
4072,58.44
24202,19.68
4717,49.11
24955,19.78
4998,49.7
5860,76.33
6470,76.28
7300,76.31
7811,90.64
8153,86.88
10640,68.3
11110,68.45
11296,67.41
20550,62.84
12824,71.82
18138,86.27
740,94.12
21737,50.59
22187,30.36
2909,60.93
22469,17.47
23303,19.17
23507,17.84
23687,24.98
24234,21.84
4703,53.09
4814,44.17
25585,12.44
8436,90.92
8468,90.32
9067,89.89
9475,90.86
9705,90.11
10207,67.81
10367,67.98
11100,67.77
11363,68.11
14386,72.19
20848,11.13
21312,12.49
726,83.96
2240,71.87
22072,14.68
3652,53.26
23758,21.53
23888,26.4
23940,38.02
24053,31.28
4456,62.73
24545,14.43
6893,76.55
7375,77.38
7483,90.64
7713,89.97
9735,83.79
10649,68.31
10775,68.2
10804,68.28
11591,67.9
13027,72.86
14096,72.03
16238,81.48
17929,81.84
19330,85.28
21324,10.48
1695,93.71
21704,49.28
2179,71.56
2677,59.72
22282,30.99
23128,26.09
23556,38.28
4095,23.41
5074,60.86
25660,30.74
5780,77.45
7654,90.94
8528,90.14
10203,67.72
11069,67.72
12316,68.09
14575,72.66
14828,72.7
15835,79.0
16140,78.37
16875,81.16
20061,73.53
20931,11.31
21229,33.16
1258,89.64
1521,92.3
2440,60.17
3202,29.56
23126,38.8
23391,28.19
3938,61.65
23630,12.25
4734,59.42
5142,32.25
6002,77.41
6437,77.22
6550,77.41
6687,76.93
7018,76.92
8863,90.56
9602,90.59
10812,64.56
11753,68.36
12399,67.7
13507,71.56
14906,72.66
15605,80.22
16995,81.91
17420,81.88
18595,85.84
19098,86.03
2149,93.26
2167,92.88
21864,10.39
22318,8.35
3013,62.34
3764,42.07
25515,17.29
5304,67.98
6969,77.13
7662,89.72
8853,90.48
9304,90.84
9739,90.91
9849,90.41
11995,66.68
13245,72.78
13771,72.26
14074,72.06
14863,71.94
15296,72.74
15433,80.59
18311,85.5
20894,22.04
20954,9.22
533,92.27
2020,93.36
22466,25.76
22538,8.47
23442,35.19
4416,60.91
24642,15.59
5437,77.1
6349,77.16
7255,77.33
20421,85.81
7797,90.14
8061,90.98
8968,90.52
10244,68.14
10654,68.31
12211,67.77
14498,72.83
14842,72.86
15756,78.81
15784,80.49
19600,85.41
20111,85.94
636,53.25
1296,94.03
1581,93.53
3222,58.81
4178,49.48
4538,29.12
24495,22.78
24892,12.99
24906,32.39
5882,77.42
10051,89.6
10625,68.34
11234,67.91
127,88.94
13815,72.83
14101,72.27
15218,71.52
15368,72.78
19200,86.41
20128,84.24
21521,22.27
2472,63.31
22139,16.83
2975,43.0
3041,46.63
22584,10.91
22938,12.59
23393,15.08
3892,54.3
4597,41.31
24665,35.12
25527,29.34
6185,77.25
6307,75.87
6633,77.39
6886,77.13
7507,90.84
9087,90.73
10774,68.25
11444,68.2
12583,67.92
13174,72.57
18391,85.97
18438,86.38
18897,84.35
258,93.86
2412,40.17
22913,18.2
3288,37.0
23736,14.19
23747,12.13
4357,55.17
5019,65.5
25424,25.71
5164,75.29
5417,76.94
5583,77.18
5901,73.29
6471,77.13
9756,89.75
73,94.8
11240,67.3
12466,68.34
13697,71.29
14771,72.86
15950,81.48
16234,81.69
16375,81.55
21221,8.94
1585,89.56
1763,94.86
23009,7.81
23500,33.34
24478,12.78
24705,13.54
24924,12.45
5519,76.95
6032,77.43
6734,77.41
9560,90.97
11204,67.92
12116,68.14
12572,68.13
14568,72.89
15194,72.48
17789,81.88
898,90.61
1030,94.86
21599,34.09
1718,93.69
22039,11.56
22156,9.34
2628,57.3
23338,19.44
23797,14.6
24211,19.52
4755,40.39
24723,16.35
25384,24.22
20402,82.29
6993,76.36
8204,90.91
8419,90.8
9031,90.31
11137,67.97
98,94.21
12208,68.11
12879,71.91
13799,60.41
20836,8.97
20911,8.75
546,85.31
685,72.99
22057,11.22
22507,8.24
3790,52.56
23511,17.09
24052,24.53
24534,18.87
25074,14.87
25187,16.13
5766,76.58
5939,77.14
6232,76.88
6395,74.16
9623,89.98
11886,68.38
14401,72.59
16772,80.13
18145,86.09
19643,86.35
20861,9.35
22870,8.44
3535,59.5
23547,13.78
24092,14.69
4650,60.84
24727,23.03
25198,13.41
7046,77.17
7379,76.92
7737,88.97
8319,89.31
20495,85.39
11840,68.0
13373,72.55
14850,72.66
16799,81.25
17146,81.81
17895,81.82
20702,13.42
19836,86.25
19894,86.42
693,80.06
21494,9.83
1523,89.19
2639,62.49
2940,58.68
4383,58.19
4672,41.79
24887,12.69
5705,76.55
6004,73.86
6306,77.2
6601,73.55
8089,90.88
10115,67.85
11264,68.23
11817,65.5
12157,68.13
13007,71.98
13597,71.39
14120,72.16
14835,72.86
15263,72.44
15668,81.36
17019,81.61
17916,81.77
18214,85.56
18914,86.06
22419,12.79
23226,24.44
23373,22.63
3731,44.8
4807,42.17
25470,12.03
8278,90.11
9337,90.9
20470,50.06
9412,89.94
9596,90.81
10107,66.2
11771,68.2
13032,72.11
14964,72.29
15087,72.47
15949,81.84
16762,78.88
19690,86.0
492,93.97
917,93.32
2494,59.89
23399,34.29
4022,44.33
4404,46.99
5140,34.53
25484,21.35
10182,68.19
10927,68.28
12294,68.22
12371,68.42
12591,68.14
13532,72.62
15178,72.44
15422,81.32
16693,81.41
21012,12.12
1537,91.97
21686,43.33
3105,61.12
22715,8.09
22796,21.42
24201,20.12
4563,55.42
25372,18.62
5731,77.3
6917,77.19
7148,77.14
7873,90.81
8772,90.26
8868,90.47
12005,68.04
13450,70.29
15268,54.45
15340,72.69
16344,81.89
16691,81.16
17824,81.84
18427,85.07
21643,13.13
21711,7.96
2069,92.69
3363,50.16
24009,22.4
24833,12.62
6217,74.25
6315,77.46
7272,77.06
7470,90.21
8525,89.13
9955,90.16
10611,68.17
11686,68.43
12561,68.01
13445,72.56
14579,70.22
18663,85.91
910,92.86
22425,15.87
22891,8.06
3287,45.39
3682,58.56
3716,34.64
24047,13.19
24508,18.16
5135,66.61
5278,64.22
6386,76.99
7063,77.12
20483,75.05
9810,90.72
11889,67.72
12910,72.55
13438,71.38
13626,72.34
14154,69.84
15110,72.91
16048,81.71
16705,81.84
18495,86.47
18998,85.55
19994,86.39
635,71.95
1571,93.5
22858,8.0
3372,22.4
4493,43.83
24145,12.16
25576,56.45
5627,77.39
6036,74.28
8400,90.34
8759,90.88
8942,89.32
9466,90.8
12676,67.8
12752,72.62
20593,39.92
14063,72.81
16804,77.97
17665,80.95
20217,85.59
20758,36.86
21316,11.44
1171,88.91
4442,42.23
24340,32.9
24635,16.73
5126,48.7
5343,77.14
13120,71.94
15155,72.46
16117,79.59
16137,81.76
16242,81.28
20651,75.64
16746,79.5
19596,86.22
818,94.7
983,82.58
21562,39.92
1858,88.31
21777,17.92
21906,9.02
2533,51.52
22542,19.67
22815,7.65
3398,36.53
4412,26.25
25136,13.19
5053,41.25
6706,77.02
6879,77.42
7355,77.4
7496,90.78
9262,90.69
9732,88.07
10113,67.88
10429,65.92
14023,72.3
16324,81.37
16711,81.86
17302,81.81
17796,81.88
17902,81.78
255,84.59
20207,85.75
2051,76.95
2223,88.32
2518,49.64
3049,53.77
22982,23.59
3981,45.14
24826,17.6
7103,77.41
20432,39.59
10301,65.07
11987,68.13
13971,72.09
19237,85.47
19946,85.97
19988,85.56
20883,11.86
405,67.59
21209,7.58
1275,82.31
21889,10.83
22049,9.22
23397,12.66
23414,28.57
4143,39.01
4637,54.84
7734,89.42
20513,77.24
11971,67.88
13834,72.14
14012,72.49
17655,81.39
18178,86.36
19118,84.7
20840,7.94
751,90.86
1486,86.44
21642,8.21
2950,33.38
22503,9.95
3356,28.8
23899,15.95
23917,30.23
4961,55.81
6749,77.19
7253,77.38
8086,90.86
8902,90.7
9072,87.94
9485,90.59
10790,68.34
11013,68.38
11099,68.34
11190,66.37
12112,68.43
12171,65.32
13016,72.92
16955,81.64
17964,80.66
18615,86.41
21158,11.34
2553,32.75
22428,9.28
23133,15.33
24155,22.84
4619,35.5
4716,22.42
7576,90.79
8517,90.12
9843,90.61
10971,68.14
11920,67.19
13773,72.69
14000,72.91
14266,71.96
15214,72.5
15471,81.62
15640,81.25
15787,81.39
15820,80.98
17626,81.36
19071,86.34
19528,85.4
305,94.09
21546,14.41
3122,41.8
4246,61.23
4420,41.55
24475,15.95
24594,17.84
6242,77.3
7220,76.62
9132,90.78
10938,68.16
11572,67.96
14871,72.73
16502,81.09
17334,81.61
17914,81.88
18581,83.9
18839,86.31
19490,85.84
19568,85.0
808,92.25
1720,95.05
2866,58.41
22463,22.09
3578,46.47
3952,61.24
5012,71.09
5340,76.04
6570,76.79
6696,77.36
7020,77.46
7172,77.31
7285,77.22
9062,90.81
9805,90.55
9861,90.56
9900,90.86
12084,68.26
12343,68.38
14107,70.19
15765,81.62
16839,81.31
19544,86.29
20830,16.38
21193,7.59
21666,20.34
2367,90.16
22287,9.47
25154,15.5
5895,77.3
6440,75.06
8503,89.5
10389,67.7
10558,67.91
10837,67.09
11380,68.39
12864,72.28
12869,61.83
13569,72.47
14468,72.57
18116,83.91
18242,85.94
18499,86.3
19085,81.42
21273,33.75
22337,14.73
22704,22.97
25341,29.5
25390,13.17
6435,77.14
7768,89.49
8569,90.53
12017,67.46
13922,60.78
15367,72.89
15609,81.23
15936,81.91
19579,86.22
20796,49.34
436,49.8
836,94.48
1483,91.94
2621,63.83
3592,47.19
23739,20.72
4101,52.1
4746,56.33
25126,14.12
25473,17.59
9311,90.92
9889,90.86
10590,68.03
10613,67.92
11199,68.14
11918,68.1
12640,66.78
14423,72.6
19457,84.08
1229,92.08
21592,34.15
23025,13.03
3555,54.98
23413,13.25
24403,12.25
24586,34.75
24762,12.53
6193,77.31
7919,90.88
8179,90.78
9204,89.31
10309,67.96
11263,67.68
12128,63.27
20594,81.64
13436,71.21
14432,72.58
17306,81.87
17333,81.83
19220,86.01
19637,85.23
20908,7.69
565,67.28
22746,8.4
4085,40.6
23977,15.91
24020,15.81
5710,76.67
10019,90.77
11197,68.41
14681,70.71
15437,81.91
16721,81.44
17588,81.03
17781,81.89
17812,80.44
18485,86.23
820,95.05
21531,20.67
21617,11.17
1699,94.88
1985,91.42
2034,94.03
21883,50.59
3253,57.61
23002,10.0
25305,14.39
7069,76.64
8004,89.95
9457,88.0
10060,88.11
14284,72.81
14394,70.25
14542,72.6
14675,64.91
16142,79.37
18395,85.6
18530,85.97
19252,86.41
20719,17.56
19555,85.33
426,51.77
21355,31.61
1516,93.83
1872,94.6
22700,25.68
3173,62.34
23121,17.16
9839,89.91
9912,90.72
10580,68.33
10645,68.47
11177,67.77
13861,72.76
14470,72.73
14958,72.71
16507,50.83
17437,81.75
17714,81.84
18280,85.94
18449,82.59
19662,85.95
21178,7.97
1631,93.81
1912,90.06
2514,59.42
2728,54.27
23902,20.03
25195,14.17
7166,77.38
9333,89.23
11111,68.2
12049,67.64
14629,72.95
17486,81.06
18318,86.42
19067,85.75
19776,85.0
20878,23.76
20897,15.25
21306,16.15
886,82.39
1061,87.31
21943,24.97
22362,11.01
3054,34.85
4077,46.0
20390,71.19
7362,77.12
7682,90.09
9821,90.72
9953,90.77
10202,67.56
10573,68.47
13654,72.14
15095,70.41
16185,81.69
17337,81.59
17501,81.62
18504,86.2
20142,84.75
967,94.97
1347,94.63
2101,85.98
2109,92.19
2860,34.06
24523,26.22
24734,14.99
25110,17.97
5048,65.45
7601,90.53
9480,90.89
13497,72.7
13528,72.67
14208,72.94
17768,81.36
20694,23.88
21181,20.74
762,84.33
1155,83.84
1540,94.78
2061,78.06
22174,9.45
2709,40.62
3073,47.8
3285,38.03
3772,28.15
23861,21.07
23956,40.9
25383,19.25
5722,74.17
7177,76.3
9655,90.77
10251,68.38
11023,67.81
126,94.36
14287,68.52
15653,73.45
18036,80.39
19724,86.1
20985,7.87
21029,12.5
1112,94.58
1354,86.24
1440,87.5
21858,22.69
22396,12.34
4347,58.99
4355,36.8
6534,77.3
9099,90.95
10642,68.41
11096,67.84
11320,68.46
11433,68.27
94,94.94
12341,68.41
12856,69.69
12898,72.64
15689,80.81
16148,81.95
17038,81.68
1168,62.55
22326,13.01
22341,10.25
22619,26.91
4979,39.77
25419,24.39
7835,90.77
8490,90.76
9899,90.87
10529,68.26
13935,72.87
15360,72.37
17689,81.94
17858,77.31
18389,85.94
19161,69.14
20211,85.45
20798,16.4
20967,7.9
727,88.91
847,93.92
1835,93.64
2021,88.92
3665,33.88
3884,58.94
4863,59.91
25095,26.16
20404,66.55
8835,89.62
9019,90.28
9937,90.92
14479,72.84
20636,63.69
17255,81.94
17612,81.61
18224,86.09
20367,84.19
656,85.51
764,92.02
1082,87.53
21936,25.84
22239,48.67
22358,23.82
3756,30.06
23605,16.0
23619,19.5
24535,34.61
24802,39.68
5225,74.12
6153,76.16
7078,77.22
7513,90.88
11770,61.63
13216,72.28
14461,72.75
15358,72.7
15744,81.89
18607,86.27
1580,72.38
2347,67.94
22648,22.66
3626,58.37
24219,18.54
4956,41.7
5235,48.44
9232,90.75
9580,90.84
9796,90.47
12458,67.13
12987,72.7
13883,72.67
14965,72.22
15527,80.64
15948,81.81
16367,72.9
16526,81.39
19210,86.38
431,52.66
1959,93.4
21840,42.78
2441,43.96
2791,38.71
23238,15.71
23921,15.05
5465,77.42
20381,85.94
12184,68.12
20588,79.42
13319,72.69
155,94.2
186,94.25
17425,80.79
18219,84.94
18693,85.73
19228,86.09
19269,82.3
20166,86.16
20842,17.72
21792,26.15
2108,88.66
22232,30.81
23244,12.09
3841,54.14
4943,71.35
1,93.87
5430,76.82
10787,67.86
101,95.39
14343,72.26
16467,81.77
17125,81.61
221,93.79
513,79.58
2465,45.57
22137,11.38
2822,57.3
23273,23.26
3669,45.78
23474,12.27
3955,57.99
23644,22.78
5010,69.92
6431,77.34
7861,90.86
7936,90.92
9586,88.83
11765,68.44
13777,72.75
15104,72.8
17674,80.69
327,94.82
2273,89.82
21998,9.28
22581,14.28
22918,23.08
23216,23.31
23229,15.01
4151,49.77
24931,28.7
6397,77.35
7627,90.31
8082,90.95
9426,90.51
9890,89.34
11241,68.26
20537,71.37
17696,81.38
17752,81.47
19467,86.46
19745,86.22
21839,34.33
21849,17.22
2342,81.98
23429,18.2
4759,31.5
24790,15.23
25105,16.66
5682,77.32
7252,76.84
8731,90.73
58,51.33
9697,90.91
9954,90.41
13704,72.06
13864,72.69
14213,72.42
15078,72.77
18237,85.31
19636,86.22
21706,29.04
22994,40.74
24590,22.19
5041,72.03
5047,30.65
25519,37.95
6464,76.78
7184,77.05
8438,90.37
8677,90.74
10880,67.44
12392,68.08
14778,71.07
15426,81.81
15893,81.81
15942,81.12
17744,81.67
18934,86.45
21234,11.0
22079,32.19
22962,15.85
23060,7.97
3798,58.45
3882,26.68
24717,18.7
25115,22.06
5651,77.45
6417,77.25
8387,89.06
10237,68.06
11393,68.04
11713,68.34
11715,68.48
12642,68.27
13589,72.72
20022,85.31
21019,7.66
21088,27.14
677,55.33
2098,90.66
21821,24.11
23049,34.61
23074,14.12
24242,23.69
24273,33.61
5033,45.89
5906,76.98
7266,76.34
8581,89.67
8780,90.61
13500,72.38
140,95.36
20613,46.58
14801,72.78
16095,81.83
19943,85.73
20370,85.66
21070,11.04
807,92.36
2555,61.2
3907,53.41
4945,42.77
4982,70.95
6047,77.11
6636,76.96
7967,90.89
8177,90.17
10110,66.19
11000,66.89
11516,67.28
11725,68.45
12104,68.27
12773,72.47
13106,72.94
13187,72.9
14226,72.42
15379,70.82
16203,81.92
1075,87.68
1142,55.6
22559,19.78
24419,18.34
24465,17.42
5406,77.12
6125,77.33
6173,77.34
6920,76.81
7949,90.81
9263,90.62
9518,90.35
10622,66.27
11149,67.72
17380,81.48
19829,84.89
716,87.38
1224,93.56
21824,29.08
22860,7.91
23835,21.53
4245,59.64
24239,21.03
24883,19.31
5367,74.55
6803,77.27
9658,90.57
10349,68.05
20525,64.86
15840,81.79
16160,81.81
16219,81.89
19046,86.06
19754,86.46
20949,10.92
812,92.61
1320,84.85
2513,62.15
2738,54.81
22914,19.56
23117,35.84
23331,16.41
23523,46.93
4430,38.59
4542,61.84
4656,60.17
25577,18.91
7079,77.38
7964,89.18
8668,90.26
16019,81.85
18335,86.1
18850,86.39
20916,21.52
1401,86.19
1846,94.0
2297,72.24
2468,46.31
3019,63.42
23267,14.86
24099,14.16
24749,13.52
24758,24.94
5186,63.02
8531,90.91
9630,90.61
9800,90.96
11126,68.42
11720,68.05
13050,72.73
13059,72.88
15770,81.7
16754,81.38
16879,79.66
17936,81.06
17988,81.19
19818,86.42
1764,88.64
21939,29.61
23203,18.1
4803,48.92
25589,18.88
6203,77.14
11058,68.3
13384,70.42
13775,70.67
15135,72.17
15331,72.23
15911,81.75
15997,81.69
16689,81.66
17060,81.38
17677,81.59
19023,83.57
20913,10.53
2044,83.08
22017,9.06
22133,13.36
23475,15.4
5836,77.31
6653,76.58
6757,76.97
6936,77.09
7346,77.33
9075,90.9
11277,68.06
15720,79.47
15864,81.72
16246,80.39
16300,79.18
20202,80.44
21664,33.96
22290,20.46
22640,10.98
22755,12.12
4432,54.3
25346,20.5
7410,76.78
8435,90.62
8440,90.92
9138,90.22
10238,68.05
10980,67.85
12348,68.08
15929,79.5
19418,86.16
19726,85.74
20180,85.41
21420,8.34
23078,7.84
3437,43.35
3865,54.29
4454,49.94
24310,12.77
5022,61.39
5771,77.39
5799,77.14
6988,77.24
8641,87.57
8697,90.91
8829,90.34
8878,90.67
9895,90.71
20508,56.47
10842,66.91
13684,72.22
14351,72.28
15483,81.26
16441,81.6
18363,85.58
19021,84.84
20045,85.5
590,72.97
2839,59.07
24255,36.42
25102,14.9
7083,76.92
7218,77.02
8566,89.91
10193,68.23
10365,68.31
10904,67.34
14105,72.39
14257,72.47
14887,71.08
16131,80.42
17941,79.85
18662,86.3
18758,86.34
20974,15.04
21563,45.09
1547,88.51
1582,92.93
1790,94.31
22003,41.62
4521,27.47
24410,14.0
7099,76.04
9102,90.39
9238,90.87
12500,67.32
